,Unnamed: 0,Date,User,Tweet,Image_URL,tidy_tweet
10,10,2023-03-19 05:16:07+00:00,Analytics_659,"💥 Was it written by a Human or #AI ▶️

#AI #MachineLearning #Python #flutter #Serverless #TensorFlow
#CloudComputing #DataMining #SelfDrivingCars #ChatGPT #GenerativeAI #programming
#100DaysOfCode

Cc: @jblefevre60
https://t.co/fJVeuLpU4P https://t.co/HQD0UTHisq","[Photo(previewUrl='https://pbs.twimg.com/media/FrjvsePWYAAkiwV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrjvsePWYAAkiwV?format=jpg&name=orig', altText=None)]",collision ernie press conference play button carbon copy
11,11,2023-03-19 04:36:16+00:00,WorldTrendsInfo,Google Invests $300 Million in Artificial Intelligence Startup Anthropic CC @MikeQuindazzi #AI #SelfDrivingCars #IoT #ConnectedCar #WearableTech https://t.co/LUP03T7hTh https://t.co/ZyEYl4aM2x,"[Photo(previewUrl='https://pbs.twimg.com/media/FrjmeO0aAAc4zMQ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrjmeO0aAAc4zMQ?format=jpg&name=orig', altText=None)]",collision ernie press conference play button carbon copy
12,12,2023-03-19 03:48:15+00:00,Analytics_659,"💥 Feature Storage for Real time recommendation System with #NVIDIA Merlin ▶️

#AI #MachineLearning #Python #Serverless #flutter #TensorFlow
#CloudComputing #fintech #cybersecurity #SelfDrivingCars
#DataMining #programming
#100DaysOfCode

https://t.co/o4QoCEZ9D9 https://t.co/62UEduIyGb","[Photo(previewUrl='https://pbs.twimg.com/media/FrjbmQ2X0AEGIQb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrjbmQ2X0AEGIQb?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/Frjbme8XgAAW77J?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Frjbme8XgAAW77J?format=jpg&name=orig', altText=None)]",collision feature storage for real time recommendation system with merlin play button
13,13,2023-03-18 17:34:15+00:00,PinakiLaskar,"After 'Large Language Models' Now it's time for 'Large World Models'.
#AI #AGI #futureofwork #MachineLearning #IoT #CX #ChatGPT #GPT4 #SelfDrivingCars #DataScience #BigData #Analytics #Programming #Coding #Blockchain #Serverless #Linux #RStats #cloudcomputing #DeepLearning #ADAS https://t.co/YNVumvhyNC","[Photo(previewUrl='https://pbs.twimg.com/media/FrhPENFXsAEF7c7?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrhPENFXsAEF7c7?format=jpg&name=orig', altText=None)]",after large language model now it be time for large world model
14,14,2023-03-18 17:28:01+00:00,guidaautonoma,".@PonyAI_tech permitted to operate unmanned #Robotaxi service in #Beijing

https://t.co/o6TtBUbo5F
#SelfDrivingCars #AI #IoT #5G #AVs #AutonomousVehicles #autonomous #Robot #startup #startups #SmartCity #tech #technology #mobility #delivery #Transportation #Transports #Auto https://t.co/5lq9pfVZsf","[Photo(previewUrl='https://pbs.twimg.com/media/FrhNpDOWwAICCZw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrhNpDOWwAICCZw?format=jpg&name=orig', altText=None)]",permit to operate unmanned service in
15,15,2023-03-18 16:54:24+00:00,PinakiLaskar,"Perception vs Reality
#AI #MachineLearning #IoT #5G #CX #ChatGPT #GPT4 #SelfDrivingCars #DataScience #fashiontech #BigData #Analytics #Programming #Coding #Blockchain #Serverless #Linux #RStats #cloudcomputing #DeepLearning #AutonomousVehicles #Metaverse #futureofwork #ADAS #nlp https://t.co/Ic87bFDjx2","[Photo(previewUrl='https://pbs.twimg.com/media/FrhF8kaWcAIrpx5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrhF8kaWcAIrpx5?format=jpg&name=orig', altText=None)]",collision ernie press conference play button ca
16,16,2023-03-18 16:53:18+00:00,PinakiLaskar,"Follow for more!
#AI #MachineLearning #IoT #CX #ChatGPT #GPT4 #SelfDrivingCars #DataScience #fashiontech #BigData #Analytics #Programming #Coding #Blockchain #Serverless #Linux #RStats #cloudcomputing #DeepLearning #AutonomousVehicles #Metaverse #futureofwork #ADAS #100DaysOfCode https://t.co/f7FFBmjgCI","[Photo(previewUrl='https://pbs.twimg.com/media/FrhFsZ8X0AEFeS0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrhFsZ8X0AEFeS0?format=jpg&name=orig', altText=None)]",follow for more
17,17,2023-03-18 16:51:37+00:00,PinakiLaskar,"Follow for more..
#AI #MachineLearning #IoT #CX #ChatGPT #GPT4 #SelfDrivingCars #DataScience #fashiontech #BigData #Analytics #Programming #Coding #Blockchain #Serverless #Linux #RStats #cloudcomputing #DeepLearning #AutonomousVehicles #Metaverse #futureofwork #ADAS #nlp #Robots https://t.co/1iITgpaEM4","[Photo(previewUrl='https://pbs.twimg.com/media/FrhFT9vWAAAfgLJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrhFT9vWAAAfgLJ?format=jpg&name=orig', altText=None)]",follow for more
18,18,2023-03-18 16:10:34+00:00,Long_Shot_Ads,"A Silly, Fun-Filled Machine Learning Guide for Beginners @mikequindazzi via @worldtrendsinfo #AI #SelfDrivingCars #IoT #ConnectedCar #WearableTech https://t.co/gGavRzYxAg https://t.co/UdGgBJfsXu","[Photo(previewUrl='https://pbs.twimg.com/media/Frg7zWhXgAEGQCI?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Frg7zWhXgAEGQCI?format=jpg&name=orig', altText=None)]",a silly fulfilled machine learn guide for beginner via
19,19,2023-03-18 14:53:35+00:00,WorldTrendsInfo,emergent abilities of LLMs cc @MikeQuindazzi #AI #SelfDrivingCars #IoT #ConnectedCar #WearableTech https://t.co/OUKac9d4Gn https://t.co/X4gOU710fM,"[Photo(previewUrl='https://pbs.twimg.com/media/FrgqLaGagAAFpfg?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrgqLaGagAAFpfg?format=jpg&name=orig', altText=None)]",collision ernie press conference play button carbon copy
20,20,2023-03-18 14:00:33+00:00,autoscreens,Self-Driving Systems Are a #Moral Maze. We Asked an Expert if They’ll Ever Be #Safe https://t.co/dXFx06eAIE #SelfDrivingCars https://t.co/bRGVwzU75O,"[Photo(previewUrl='https://pbs.twimg.com/media/FrgeJ2PXoAA_8mP?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrgeJ2PXoAA_8mP?format=jpg&name=orig', altText=None)]",system be a maze we ask an expert if they will ever be
21,21,2023-03-18 13:14:53+00:00,guidaautonoma,"#Autonomous cars could help millions of disabled Americans find jobs, study finds

https://t.co/cB2Edwi4Nn
#SelfDrivingCars #AI #IoT #5G #AVs #AutonomousVehicles #Robot #startup #startups #SmartCity #robotaxi #Travel #tech #technology #mobility #delivery #Transportation #Auto https://t.co/UHjM1yQH8x","[Photo(previewUrl='https://pbs.twimg.com/media/FrgTtDHWwAAYXf-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrgTtDHWwAAYXf-?format=jpg&name=orig', altText=None)]",car could help million of disabled american find job study find
22,22,2023-03-18 13:07:44+00:00,QuentinKuhlman,"Buy Facebook Ads Accounts

😍😍😍
https://t.co/BiOvhs7RKC

#AI #MachineLearning #IoT #ML #flutter #fintech #cybersecurity
#CloudComputing #SmartCities #Cloud #Robotics #SmartHome  #SelfDrivingCars #programming
#100DaysOfCode https://t.co/q875GWa4p9","[Photo(previewUrl='https://pbs.twimg.com/media/FrgSA0JWcAAkudg?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrgSA0JWcAAkudg?format=jpg&name=orig', altText=None)]",collision ernie press conference play button ca
23,23,2023-03-18 11:50:31+00:00,GothamVirtual,"#vr #vrgotham #3dvideomotion This AV #lidar start-up has a long term vision, but will their technology support the road map? @luminartech #SelfDrivingCars 
https://t.co/dhXN5cBSN0 https://t.co/wj5gRhHtzV https://t.co/E4yUsNON9Y","[Photo(previewUrl='https://pbs.twimg.com/media/FrgABgJWwAUS8nw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrgABgJWwAUS8nw?format=jpg&name=orig', altText=None)]",this av startup have a long term vision but will their technology support the road map
24,24,2023-03-18 11:49:21+00:00,lidarnews,"This AV #lidar start-up has a long term vision, but will their technology support the road map? @luminartech #SelfDrivingCars 
https://t.co/HXanZxRcDg https://t.co/PJeSo1So9Z","[Photo(previewUrl='https://pbs.twimg.com/media/FrgABgJWwAUS8nw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrgABgJWwAUS8nw?format=jpg&name=orig', altText=None)]",this av startup have a long term vision but will their technology support the road map
25,25,2023-03-18 11:44:01+00:00,guidaautonoma,"How #Autonomous Driving Will Affect More Than Just Drivers

https://t.co/WjXyt52Goa
#SelfDrivingCars #AI #IoT #5G #AVs #AutonomousVehicles #Robot #startup #startups #SmartCity #robotaxi #Travel #tech #technology #mobility #delivery #Transportation #Transports #Auto https://t.co/LqP7NK9qYB","[Photo(previewUrl='https://pbs.twimg.com/media/Frf-5dGXoAAfkrh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Frf-5dGXoAAfkrh?format=jpg&name=orig', altText=None)]",how driving will affect more than just driver
26,26,2023-03-18 09:10:32+00:00,Analytics_659,"IoT use for Future ▶️

#AI #MachineLearning #IoT #ML #flutter #fintech #cybersecurity
#CloudComputing #SmartCities #Cloud #Robotics #SmartHome  #SelfDrivingCars #programming
#100DaysOfCode

V/ @GoldmanSachs https://t.co/O1FBFEPlR7","[Photo(previewUrl='https://pbs.twimg.com/media/FrfbwmbWAAEzylQ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrfbwmbWAAEzylQ?format=jpg&name=orig', altText=None)]",iot use for future play button i
27,27,2023-03-18 08:35:41+00:00,Stuplayer,"What do the Indy Autonomous Challenge, #5G Networks, and the future of #SelfDrivingCars all have in common? Speed, compatibility, and confidence – just to name a few 🏎️  https://t.co/Gt4lPwcSNa https://t.co/2NFTwBhSW2","[Photo(previewUrl='https://pbs.twimg.com/media/FrfTzGVXsAIqjOH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrfTzGVXsAIqjOH?format=jpg&name=orig', altText=None)]",what do the indy autonomous challenge network and the future of all have in common speed compatibility and confidence just to name a few racing car
28,28,2023-03-18 04:45:55+00:00,ArceoChoya,5 AI trends that will shape 2023 @mikequindazzi #AI #SelfDrivingCars #IoT #ConnectedCar #WearableTech https://t.co/5SOSI2rN3B https://t.co/BbZBofyArX,"[Photo(previewUrl='https://pbs.twimg.com/media/FrefF3jaIAARyt3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrefF3jaIAARyt3?format=jpg&name=orig', altText=None)]",collision ernie press conference play button ca
29,29,2023-03-18 02:15:13+00:00,ArceoChoya,The Future of Education: A World Powered by AI @motorcycletwitt #AI #SelfDrivingCars #IoT #ConnectedCar #WearableTech https://t.co/q2GQDkgvc9 https://t.co/Aj6MLsGh45,"[Photo(previewUrl='https://pbs.twimg.com/media/Frd8maHaQAEo6zF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Frd8maHaQAEo6zF?format=jpg&name=orig', altText=None)]",collision ernie press conference play button ca
30,30,2023-03-18 02:13:38+00:00,hudson_chatbots,AI vs. Humans: Who Will Win the Battle for the Future? @mikequindazzi #AI #SelfDrivingCars #IoT #ConnectedCar #WearableTech https://t.co/1rUgBbCQpB https://t.co/r4WFhlOHkr,"[Photo(previewUrl='https://pbs.twimg.com/media/Frd8MsQWYAIRpRY?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Frd8MsQWYAIRpRY?format=jpg&name=orig', altText=None)]",collision ernie press conference play button ca
31,31,2023-03-17 22:32:56+00:00,WorldTrendsInfo,Should Robots Replace Teachers?: AI and the Future of Education @mikequindazzi #AI #SelfDrivingCars #IoT #ConnectedCar #WearableTech https://t.co/FnhNzsUsqx https://t.co/I3DIW8gRLo,"[Photo(previewUrl='https://pbs.twimg.com/media/FrdJuYQaQAAH3it?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrdJuYQaQAAH3it?format=jpg&name=orig', altText=None)]",collision ernie press conference play button ca
32,32,2023-03-17 19:33:51+00:00,davidtwilby,"What if your car tried to kill you?

""Pacy, action-packed, claustrophobic and clever"" ⭐⭐⭐⭐⭐

#CentralLocking - only 0.99 or #free on #KindleUnlimited 

https://t.co/xVGgjSwD6Z

#WritingCommunity #iartg #scifibooks #mybookagents #SelfDrivingCars #BookTwitter #BookTwitter","[Photo(previewUrl='https://pbs.twimg.com/media/E2-WZZBWEAMGhHE?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/E2-WZZBWEAMGhHE?format=jpg&name=orig', altText=None)]",what if your car try to kill you pay claustrophobic and clever star star star star star only 099 or on
33,33,2023-03-17 18:56:41+00:00,guidaautonoma,".@May_Mobility launches third-generation #autonomous driving system

https://t.co/mmr6Okp0Lv
#SelfDrivingCars #AI #IoT #5G #AVs #AutonomousVehicles #Robot #startup #startups #SmartCity #robotaxi #Travel #tech #technology #mobility #delivery #Transportation #Transports #Auto https://t.co/RSCuUhbcWF","[Photo(previewUrl='https://pbs.twimg.com/media/FrcYWKFWABwiG22?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrcYWKFWABwiG22?format=jpg&name=orig', altText=None)]",launch drive system
34,34,2023-03-17 17:03:27+00:00,guidaautonoma,"#SelfDrivingCars
Top 🥇 Mentioned in Entire Graph
Congrats‼ 👍👏

▶ https://t.co/HCFku2nOkI…
@chidambara09
@enilev
@BetaMoroney
@guidaautonoma
@Khulood_Almani
@Analytics_659
@PinakiLaskar
@GlenGilmore
@MikeQuindazzi
@AkwyZ
#AI #IoT #5G #mobility #autonomous #robotaxi #Mobility https://t.co/FM9UCGQjCD","[Photo(previewUrl='https://pbs.twimg.com/media/Frb-bYxXwCAq1m9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Frb-bYxXwCAq1m9?format=jpg&name=orig', altText=None)]",top est place medal mention in entire graph congrats double exclamation mark thumb up clap hand play button
35,35,2023-03-17 15:27:24+00:00,guidaautonoma,"#Driverless taxi company offering free rides to #SanFrancisco hospitality workers

https://t.co/mbxiOPwraZ
#SelfDrivingCars #AI #IoT #5G #AVs #AutonomousVehicles #autonomous #Robot #startup #startups #SmartCity #robotaxi #Travel #tech #technology #mobility #delivery #Auto https://t.co/mFNWmc8JvS","[Photo(previewUrl='https://pbs.twimg.com/media/Frbocf_X0AEelow?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Frbocf_X0AEelow?format=jpg&name=orig', altText=None)]",taxi company offer free ride to hospitality worker
36,36,2023-03-17 15:15:00+00:00,AIMagazine_BC,"The future of transportation is here: fully automated robotaxis may cut travel time by up to 40%, recover up to 80 billion hours lost to commuting and congestion, and reduce fuel consumption by up to 40%.  

https://t.co/GP1qiLScFS #SelfDrivingCars #Mobility #AI https://t.co/AwgftRxXm1","[Photo(previewUrl='https://pbs.twimg.com/media/FrbX39qWYAIQaDe?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrbX39qWYAIQaDe?format=jpg&name=orig', altText=None)]",the future of transportation be here fully automate may cut travel time by up to 40 recover up to 80 billion hour lose to commute and congestion and reduce fuel consumption by up to 40
37,37,2023-03-17 14:00:48+00:00,autoscreens,Will #SelfDrivingCars Be ‘Just Five Years Away’... Forever? | The Big Take https://t.co/3U7fWJ4M8T #YouTube #podcasts https://t.co/BbE8P1Y6li,"[Photo(previewUrl='https://pbs.twimg.com/media/FrbUn9JWAAAqLqF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrbUn9JWAAAqLqF?format=jpg&name=orig', altText=None)]",will be just five year away forever the big take
38,38,2023-03-17 13:25:56+00:00,guidaautonoma,"Mile by mile: The #SelfDrivingCars of tomorrow are already here

https://t.co/K6KfSqViPU
#SelfDrivingCars #AI #IoT #5G #AVs #AutonomousVehicles #autonomous #Robot #startup #startups #SmartCity #robotaxi #tech #technology #mobility #delivery #Transportation #Transports #Auto https://t.co/EyswWyXY99","[Photo(previewUrl='https://pbs.twimg.com/media/FrbMpLkXsAAKul0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrbMpLkXsAAKul0?format=jpg&name=orig', altText=None)]",mile by mile the of tomorrow be already here
39,39,2023-03-17 11:36:12+00:00,stilomet,"Now on: ""Influence of an innovative HMI for highly automated driving on trust"" by Nadine Rauh, Tina Günther-Gommlich, Kira-Alyssa Maas, Cornelia Hollander and Matthias Beggiato. #SelfDrivingCars #hybridsocieties2023 https://t.co/sUBymiAP2X","[Photo(previewUrl='https://pbs.twimg.com/media/FrazhBHWAAA5gZI?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrazhBHWAAA5gZI?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FrazhTFXwAEqLsb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrazhTFXwAEqLsb?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FrazhrPWAAEIjAh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrazhrPWAAEIjAh?format=jpg&name=orig', altText=None)]",collision ernie press conference play button ca
40,40,2023-03-17 11:15:31+00:00,guidaautonoma,"The CEO of GM’s @Cruise thinks #driverless cars will rule the road in 5 years: ‘Humans are so bad at driving’

https://t.co/ZJvdyPUoDu
#SelfDrivingCars #AI #IoT #5G #AutonomousVehicles #autonomous #Robot #startup #startups #SmartCity #robotaxi #tech #technology #mobility  #Auto https://t.co/dVGwLLY5Ni","[Photo(previewUrl='https://pbs.twimg.com/media/FrauyxaWYAMrKVg?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrauyxaWYAMrKVg?format=jpg&name=orig', altText=None)]",the ceo of gas think car will rule the road in 5 year human be so bad at drive
41,41,2023-03-17 08:30:00+00:00,iot_automotive,"Weekly round-up. A collections of the weeks TOP TWEETS. Enjoy!

https://t.co/qGPC93Vt6r

#AI #ADAS #SelfDrivingCars #AutonomousVehicles #ConnectedCars #CV2X #CITS #ElectricVehicles #mobility #lidar #MachineLearning #evtols https://t.co/eZ4CvtNpQc","[Photo(previewUrl='https://pbs.twimg.com/media/FrWfpR8aIAMzF7g?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrWfpR8aIAMzF7g?format=jpg&name=orig', altText=None)]",weekly roundup a collection of the week top tweet enjoy
42,42,2023-03-16 22:19:27+00:00,Pat_Patterson_V,"What do the Indy Autonomous Challenge, #5G Networks, and the future of #SelfDrivingCars all have in common? Speed, compatibility, and confidence – just to name a few 🏎️  https://t.co/NaLh34kLwW https://t.co/7iua7pGBKx","[Photo(previewUrl='https://pbs.twimg.com/media/FrX9KhXX0AMlpsu?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrX9KhXX0AMlpsu?format=jpg&name=orig', altText=None)]",what do the indy autonomous challenge network and the future of all have in common speed compatibility and confidence just to name a few racing car
43,43,2023-03-16 16:40:24+00:00,guidaautonoma,"#AutonomousVehicles of the Week 
2️⃣ years ago:
March 8 - March 14, 2021
🚗🚚🚌🚕

@AlbertoEMachado @segundoatdell @MargaretSiegien @Hana_ElSayyed @WorldTrendsInfo @ingliguori @mikequindazzi @hudson_chatbots @FrRonconi @smartecocity
#SelfDrivingCars #5G #SmartCity #AI #iot #auto https://t.co/xcI9APxwCp","[Photo(previewUrl='https://pbs.twimg.com/media/FrWvj6-XwBAcF7-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrWvj6-XwBAcF7-?format=jpg&name=orig', altText=None)]",of the week recap 2 year ago march 8 march 14 2021 automobile delivery truck bus taxi
44,44,2023-03-16 15:45:46+00:00,GothamVirtual,#vr #vrgotham #3dvideomotion GM Ultra Cruise #ADAS will include lidar #SelfDrivingCars https://t.co/ZdJhsrYMIg https://t.co/twOEZ8Urtr https://t.co/jvRqux4VnW,"[Photo(previewUrl='https://pbs.twimg.com/media/FrWh5B6XwAIIQqK?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrWh5B6XwAIIQqK?format=jpg&name=orig', altText=None)]",collision ernie press conference play button ca
45,45,2023-03-16 15:40:53+00:00,lidarnews,GM Ultra Cruise #ADAS will include lidar #SelfDrivingCars https://t.co/0gkbVsvlCm https://t.co/AQGPrZQBjX,"[Photo(previewUrl='https://pbs.twimg.com/media/FrWh5B6XwAIIQqK?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrWh5B6XwAIIQqK?format=jpg&name=orig', altText=None)]",collision ernie press conference play button ca
46,46,2023-03-16 15:01:49+00:00,BethDay2,"According to new AAA poll, ~68% of Americans say they’re afraid of self-driving cars. What do you think this will mean for long-term success of #autonmousvehicles?
https://t.co/QyOhV6MTqa

#selfdrivingcars #automobiles https://t.co/rKntZoQyTX","[Photo(previewUrl='https://pbs.twimg.com/media/FrWY__LakAAf2D6?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrWY__LakAAf2D6?format=jpg&name=orig', altText=None)]",accord to new aka poll 68 of american say they be afraid of car what do you think this will mean for longterm success of
