,Unnamed: 0,ID,text,image,text.1,image.1,text.2,image.2,tweet,text_polarity,image_polarity,polarity
29,29,2529,1,1,1,1,0,0,"Another day, another sign going up - massive support for @OmarAlghabra in Mississauga Centre! #elxn42 #misspoli",1,1,1
30,30,2530,0,0,0,0,0,0,Some of the #LPC candidates here in #Edmonton: @TeamBiollo @Tariq_Chaudary @R_Boissonnault &amp; @Eleanor4Strath! #elxn42,0,0,0
31,31,2531,0,0,-1,-1,0,0,@StopHarpersWar @chuddles11 Seems that your assessment about #veterans not supporting #Harper is shared #elxn42,-1,-1,-1
32,32,2532,1,1,0,0,-1,-1,Yesterday: In #Pembroke supporting our brilliant #LPC candidate @JeffLehouxforMP | #RNP #CanPoli #Elxn42 #TeamTrudeau,0,0,0
33,33,2533,1,0,-1,0,0,0,"@ParmGill has #CONblocked me. Please, RT so he doesn't miss out on the fun. #CDNpoli #elxn42 #CPC #LPC #chickenParm",0,0,0
34,34,2534,-1,-1,-1,-1,0,0,"CPC candidate Gabriel Purcarus, when I asked him about his deleted FB page. #elxn42 #cdnpoli",-1,-1,-1
35,35,2535,-1,0,0,0,-1,0,So what happened in 2007? @KivariDaniel @Imthebubba @heathrodgirs @Elxn2015,-1,0,-1
37,37,2537,0,0,0,0,1,1,"Reasons to Donate PC Party, Progressive Canadian Party - Today: Veteran's Affairs Ã¢â¬Â¦ #elxn42 http://t.co/PSf2NbAY8d",1,1,1
38,38,2538,1,1,1,1,1,1,"#TeamJustin/ @JustinTrudeau is solar; 2day, volunteering 4 Omar/ .@OmarAlghabra #Mississauga #RealChange #LPC #elxn42",1,1,1
39,39,2539,1,1,1,0,1,1,Amazing @karinagould introduces @cafreeland. So cool that both also have women campaign managers! #cdnpoli #elxn42,1,1,1
40,40,2540,1,1,1,1,1,0,Jack Welch: Only 2 Words Matter for Leaders: Truth &amp; Trust #elxn42,1,1,1
41,41,2542,0,0,1,1,0,0,Larry Koopman will vote 2015 because we must preserve our democracy! #iwillvote2015 #bcrc15 #elxn42 #cdnpoli,1,1,1
42,42,2543,0,0,1,1,1,0,We need 2400 users in #MetroVancouver. You can be one of the first: - #elxn42 #yvr #cdnpoli http://t.co/oZLeB1HsSN,1,1,1
43,43,2544,0,0,-1,1,1,1,The economy isn't working for Canadians. It's time for a change in direction. #cdnpoli #elxn42 #canadavotes,0,1,1
44,44,2545,1,1,0,0,0,0,Growing the economy requires a strong team. The depth of experience of the #LPC is incredible &amp; unmatched. #elxn42,1,1,1
45,45,2548,0,0,0,0,0,0,Powerful new attack ad by @Adbusters looking for funding to air on TV Ã¢â¬Â¦ #elxn42 #cdnpoli https://t.co/kHfMTOd89Y,0,0,0
46,46,2549,1,1,1,1,1,1,Integrity Matters: Social Contract w Canada must be honoured Ã¢â¬â Progressive Canadians #elxn42 http://t.co/NSwTddCHS8,1,1,1
47,47,2550,1,1,0,0,0,0,PCParty Hon Sinclair Stevens former Progressive Conservative PM Joe Clark on refugees #elxn42 http://t.co/NSwTddCHS8,1,1,1
48,48,2551,1,0,1,0,-1,-1,"Trudeau's first economic move if he were PM, call for a first ministers meeting on climate change. #cdnpoli #elxn42",1,-1,0
49,49,2552,0,0,0,0,1,0,Prosperity Canada - PC Party SEVEN PILLARS FOR BRINGING PROSPERITY TO CANADA #elxn42 http://t.co/NSwTddCHS8,1,0,1
50,50,2554,0,0,0,0,0,0,The Delusions of David Frum's Mind Ã¢â¬â Canada's Prodigal Republican Son: #cdnpoli #elxn42 #CPC http://t.co/o0nn0L4Isy,0,0,0
51,51,2555,1,1,1,1,1,1,Post rally ice cream stop with the #ParkHP team! Thanks for the delicious ice cream @SweetOlenkas! #TM4PM #elxn42,1,1,1
52,52,2556,1,1,0,0,0,0,Who Led Defending Canadians Rights &amp; Freedoms? @ElizabethMay Spoke Out When No Other Pol Would #cdnpoli #elxn42 #C51,1,1,1
53,53,2557,-1,-1,0,0,-1,0,Harper calls on Vets for support Staff doesn't read the whole email #cdnpoli #elxn42,-1,-1,-1
54,54,2558,1,1,0,1,1,1,Katha Fortier will vote in 2015 because she wants our Canada back! #uniforcc #elxn42 #iwillvote2015,1,1,1
55,55,2559,-1,-1,1,0,-1,-1,"You live by the surveillance state, you die by the surveillance state #peegate #elxn42",-1,-1,-1
56,56,2560,0,1,0,1,0,1,"Laura Weston, NDP Candidate for Midnapore Calgary @WestonNDP Exciting!! #elxn2015 #indigenous #vote #yyc #ndp",0,1,1
58,58,2562,1,0,-1,1,0,0,#Liberals are in the lead! #teamtrudeau #RealChange #cdnpoli #canpoli #elxn42 #elxn2015 #hopeandhardwork #onpoli #LPC,0,1,1
59,59,2563,1,1,0,0,1,0,Wind destroys flimsy #elxn42 signs at 78th &amp; King George but one strong one remains! @jinnysims #SurreyBC,1,1,1
60,60,2564,0,0,1,1,1,1,Want to ask an #elxn42 candidate a question? #yvr #metrovancouver http://t.co/UmJxzdK0G9,1,1,1
62,62,2566,-1,-1,0,0,0,0,Much LPC NDP do do about nothin : ) #elxn42 #polqc,-1,-1,-1
63,63,2567,0,0,0,0,0,0,@ThomasMulcair announcing @NDP_HQ plan for improving Canada's Health Care- #TM4PM #elxn42,0,0,0
64,64,2568,0,0,0,0,-1,1,Gun Registry &amp; @ThomasMulcair ... another: will he or won't he ? #cdnpoli #polqc #elxn42 #fed2015,-1,1,0
65,65,2569,1,1,0,0,1,1,Harper Policies Cut Manufacturing from 18% of Cda's Economy in 2000 to 10% #cdnpoli #elxn42 http://t.co/BADon35uSh,1,1,1
66,66,2570,0,0,0,0,1,1,"@WinnipegNews Yes, yes there is! #Winnipeg for @ThomasMulcair #TM4PM #elxn42",1,1,1
67,67,2571,-1,-1,-1,-1,1,-1,.@CanadianGreens Why is your sign on my lawn? We didn't request this. @ElectionsCan_E #elxn42 #yyc,-1,-1,-1
68,68,2572,0,0,0,0,0,0,#HarperScoutBadges Official Email Intern #StopHarper #heavesteve #cdnpoli #elxn42,0,0,0
69,69,2573,0,0,0,0,0,1,Orange wave rolled into Vancouver today. #yvr #elxn42 #cdnpoli #NDP #NDP2015,0,1,1
70,70,2574,1,0,1,0,1,1,Didn't follow #elxn42 last week? Check out our HATLEY Report for everything you need to know http://t.co/zjsy9ru94e,1,1,1
71,71,2575,-1,-1,1,1,0,-1,"Any Federal Party that would [A] Roll-Back #C51, [B] Build Infrastructure via Deficits &amp; [C] Win a Majority? #Elxn42",0,-1,-1
72,72,2576,1,1,1,1,0,1,He will vote in 2015 because he wants his Canada back! #iwillvote2015 #cdnpoli #elxn42 #bcrc15,1,1,1
73,73,2577,0,0,0,0,1,1,".@TheHSF On 6/21, I ran the 47km #Cloverdale - #Langley City riding boundary ?? Does that count? #VoteHealthy #Elxn42",1,1,1
74,74,2579,0,0,1,0,1,1,@ParmGill hints @ apology. Not attending @BramptonFocus debate &amp; #CONblocks electors. #cdnpoli #elxn42 #chickenParm,1,1,1
75,75,2580,1,-1,0,1,1,-1,Meet the Harper Team #cdnpoli #elxn42 #CPC #CPCJesus #Harperman #pmharper http://t.co/51nzKVh6Z0,1,-1,0
76,76,2581,1,1,-1,1,1,1,Met Hon. @Kent4Thornhill after hearing @pmharper announce faster professional certification 4 new Canadians! #elxn42,1,1,1
77,77,2582,0,0,0,0,0,0,"Brilliant cat, that. #elxn42",0,0,0
78,78,2583,0,0,1,1,1,1,Everyone is hyped for @pmharper in #Abbotsford! #RallyintheValley! #MMFC #elxn42,1,1,1
79,79,2584,1,0,0,0,1,1,Here's Tom trying to convince Canadians that socialism isn't socialism ... #elxn42 #polqc,1,1,1
80,80,2585,0,0,1,0,1,1,"CÃ¢â¬â¢mon, wake up rest of Canada and come play on #Elxn42 (nobody west of Ontario) http://t.co/YFbELJJqbK.",1,1,1
81,81,2586,1,1,1,1,0,0,"We're talking #healthcare, and j couldn't be happier. Proud of @ThomasMulcair and the #NDP. #vote4care #elxn42",1,1,1
82,82,2587,-1,1,-1,0,0,-1,Trudeau &amp; Mulcair Using Tragidy of a Dead Child as a Political Tool: #cdnpoli #elxn42 #tcot http://t.co/dASMiTdjUv,-1,0,-1
84,84,2589,1,0,0,0,-1,0,Have reporters asked Trudeau about China's recent economic performance? I recall him being fond of China. #elxn42,0,0,0
85,85,2590,0,1,-1,-1,-1,-1,. @pmharper makes another pointless promise &amp; #Novak new nothing #duffygate #elxn42,-1,-1,-1
86,86,2591,1,1,0,1,1,1,Support organizations like @CANdrugpolicy that call for evidence informed policies on drugs. #elxn42 #cdnpoli,1,1,1
87,87,2592,0,0,0,-1,0,0,@WhyIVoteCAN These many yrs of fed'l hsg ministers that didn't launch a nat'l hsg program. #elxn42 #housing4all15,0,-1,-1
88,88,2593,0,0,1,0,0,0,"Senior Conservatives buy into """"fact"""" pulled from nether region by serial fantasist. #cdnpoli #elxn42",1,0,1
89,89,2594,0,0,-1,0,0,0,"Local Dark Horse gets in on the #elxn42 game, if only the voting process was as easy as buying a coffee #cdnpoli",-1,0,-1
90,90,2595,0,0,0,1,0,0,@BobDechert why would you say something so derogatory ? #cdnpoli #teamiqra #TeamTrudeau #elxn2015 #Mississauga,0,1,1
91,91,2596,1,1,-1,0,1,1,@ryanleefmp #elxn42 #cdnpoli Yukoners' are lucky to have the baddest of badass MPs representing them Go get em Ryan!,1,1,1
92,92,2597,0,0,0,0,0,0,"Hey @JustinTrudeau, I thought you weren't going to pander to the politics of fear and divisiveness? #elxn42",0,0,0
93,93,2598,-1,-1,-1,-1,-1,-1,Just a #TeenyTinyRECESSION !! #CdnPoli #Elxn42 #HarpersRecession @PatOndabak,-1,-1,-1
94,94,2599,0,0,-1,-1,0,0,#elxn42 #elxn2015 How @pmharper learned to dodge questions #cdnpoli,-1,-1,-1
95,95,2600,0,0,0,0,0,0,Ray Novak may have been #Fifed But @KoryCPC was #CLARKED by @tomclarktv #elxn42 #cdnpoli,0,0,0
96,96,2601,0,0,0,1,0,0,.@NDP_HQ @JillianRatti re #C51 - we need to stop the creep (of degradation of civil liberties) #yyccentre #elxn42,0,1,1
97,97,2602,1,1,0,0,1,1,"Rona Ambrose and Laureen Harper speak at a gathering this morning in Stony Plain, Alta. #elxn42 @RonaAmbrose",1,1,1
98,98,2603,0,0,1,1,0,0,Ready for the roundtable discussion today in #richmondbc. #cdnpoli #elxn42,1,1,1
99,99,2604,1,1,1,1,1,1,"Got the coolest button today, thanks @FredHahnCUPE! Only 42 days left! #elxn42",1,1,1
100,100,2605,1,-1,0,0,-1,-1,"Harper Conservatives and the environment, a strategy with no end. #cdnpoli #elxn42",0,-1,-1
102,102,2608,0,1,-1,-1,-1,-1,Do not understand why #LPC keeps using this cheesy imagery. How do boxing &amp; prime-ministership correspond? #elxn42,-1,-1,-1
103,103,2609,-1,-1,1,0,0,0,My apartment window in Mississauga looking proper #lpc #elxn42 #misspoli,0,-1,-1
104,104,2610,-1,0,0,-1,0,0,Election most important for Sask. economy 'in a generation': expert #spnews #news #elxn42 http://t.co/aDtdlKbpT0,-1,-1,-1
105,105,2611,0,0,0,0,0,1,Great crowds @pmharper #elxn42 #polqc not sure where it is ..,0,1,1
106,106,2612,0,0,1,-1,0,0,. @dantheeditor column: Harper's refugee crisis response is hampering his campaign #elxn42 http://t.co/GdA9YCJESl,1,-1,0
107,107,2613,1,1,1,1,1,-1,Canadian politics is so much fun. #GoStuffYourself #elxn2015,1,1,1
108,108,2614,1,0,0,0,1,1,Why am I part of #GenerationTrudeau? bc @JustinTrudeau cares about #realchange for students across Canada! #elxn42,1,1,1
109,109,2615,0,1,1,1,1,1,Liberals offering retirement security for seniors #TeamDamoff #BurlON #Oakville #elxn42 http://t.co/VDMm2mSxAW,1,1,1
110,110,2616,1,0,1,1,1,0,Transfers make great incentives #elxn42 #polqc,1,1,1
112,112,2618,-1,-1,-1,-1,-1,-1,This wee guy didn't pee on my porch. AFAIK. #peegate #cdnpoli #elxn42,-1,-1,-1
113,113,2619,0,0,0,-1,0,0,Canada's Harsh 'Austerity' Policies Started with Paul Martin &amp; the Liberals: #cdnpoli #elxn42 http://t.co/6e6X2VWWew,0,-1,-1
114,114,2620,1,1,1,0,1,1,@Justin_Ling I'm walking across #Canada raising awareness for #palliativecare #seniorcare. Need it on #elxn42 agenda,1,1,1
115,115,2621,0,0,1,1,0,1,Nurses vote! #elxn42 #rnao platform. Yes to #sdoh #affordablehousing http://t.co/i3xGcoDzUp,1,1,1
116,116,2622,0,0,1,0,0,0,Another...CDN Media Guild: How to Champion Public Broadcasting during the election | #elxn42 http://t.co/3iUbTv4Ikg,1,0,1
117,117,2623,0,0,1,1,1,0,"NDP's @sherirbenson up now, talking about lack of affordable housing and poverty. #yxe #yxewest #elxn42",1,1,1
118,118,2624,1,1,1,0,1,0,My folks have their @MattNDP sign up for #Winnipeg South Centre! @ThomasMulcair #elxn42,1,1,1
119,119,2625,0,-1,0,-1,0,0,Saw this walking about today. Tories be feeling the love in #yyt! #StopHarper #elxn42 #cdnpoli #nlpoli,0,-1,-1
120,120,2626,1,0,0,-1,0,0,Here's last week's #elxn42 HATLEY Report! Sign up on our website to receive it earlier. #polqc http://t.co/zjsy9rcxFE,1,-1,0
121,121,2627,0,0,1,1,0,0,"Today's editorial: At #elxn42 midpoint, we're on track toward a minority gov't http://t.co/nXgG7TEIK3",1,1,1
122,122,2628,0,0,0,-1,0,0,Harper and Accountability Then and Now #cdnpoli #elxn42,0,-1,-1
124,124,2630,1,0,1,0,1,0,Just arrived for a night of fun &amp; conversation with constituents ?????? #Cloverdale #Langley #Elxn42,1,0,1
125,125,2631,0,0,0,0,0,0,#IWillVote2015 bcuz if Harper had his way he would cancel Labour Day! #elxn42 #cdnpoli #labourday,0,0,0
126,126,2632,1,-1,-1,0,0,1,"It is 46 days, 9 hours, 17 minutes until #elxn2015",0,0,0
127,127,2633,0,0,-1,-1,0,0,"Um, this is scary. #cdnpoli #elxn42 http://t.co/99eZt2EB7Q",-1,-1,-1
128,128,2634,0,0,0,-1,0,-1,#NDP poach CPC talking POINTS. I call 'copyright infringement'. At least TRY to be original. #elxn42 #cdnpoli #lpc,0,-1,-1
129,129,2635,0,0,0,-1,0,0,The new conservative morality. #cdnpoli #elxn42 http://t.co/d8175K9rMg,0,-1,-1
130,130,2636,-1,-1,0,0,1,1,Canada WAY down at 62 per GDP spent on education We need to invest in future #cndpoli #elxn42 https://t.co/bhsQltzZLt,0,0,0
131,131,2637,1,0,0,0,0,1,Mylene Freeman supports VIA #cdnpoli #elxn42 #savevia,1,1,1
132,132,2638,1,1,1,1,1,1,"Con Candidates Can't Attend All Candidates Debates, Talk to Media! Democracy? #cdnpoli #elxn42 http://t.co/e7N1KpGIPi",1,1,1
133,133,2639,0,0,0,0,1,1,"In between calls, sign blitz, canvassing , team @omaralghabra is out in massive force today! #misspoli #elxn42",1,1,1
134,134,2640,0,-1,0,0,0,-1,You can use to see changing policy positions on still relevant issues. #Elxn42 http://t.co/kGUjTuiiwO,0,-1,-1
135,135,2641,0,-1,0,0,1,1,Bruce Springsteen with @AndrewCash! The coolest MP #cash4TO #elxn42 #davenportNDP,1,0,1
136,136,2642,-1,0,0,1,0,1,@pmharper gets thumbs down at #Green booth @LockeFestival in #HamOnt. @HuffPostCanada @CdnPress #cdnpoli #elxn2015,-1,1,0
137,137,2643,0,0,1,1,1,1,@pmharper The only choice for a Stronger Economy and a Safer Canada #Abbotsford #MMFC #elxn42 @CPC_HQ,1,1,1
138,138,2644,-1,1,-1,-1,0,0,Ã¢â¬Å@CBCNews: scientist put on leave over Harperman song #elxn42 #cdnpoli 'kettle' all protest! http://t.co/ojB709oOQU,-1,0,-1
139,139,2645,-1,-1,1,0,0,0,Campaign journal excerpt from @pmharper's new #PMO Issues Manager. #Duffy #CdnPoli #elxn2015,0,-1,-1
140,140,2646,0,0,1,0,0,0,Pay attention to who's engaging w #Indigenous Ntns between elxns b/c that shows true willingness. See attach: #elxn42,1,0,1
141,141,2647,1,1,0,1,1,1,"Huge fan girl moment as I chatted w/ former prime minister, Paul Martin 2day. #Elxn42 #LPC #GenerationTrudeau #OYL",1,1,1
142,142,2648,0,1,0,1,0,1,"@TristanneB @ThomasMulcair calls loan sharks, friends. #ndpfail #ready4change #elxn42",0,1,1
143,143,2649,-1,-1,0,-1,-1,-1,OUCH! Painful to see #communityhealthcentre as backdrop for .@CPC_HQ @CACHC_ACCSC #elxn42 http://t.co/ERs2uRhzmF,-1,-1,-1
144,144,2650,-1,-1,0,0,-1,-1,"Conservative Party of Canada, the place for men with convictions. #cdnpoli #elxn42",-1,-1,-1
145,145,2651,0,1,1,1,1,1,A great night to meet the residents in Deer Run! #RealChange #elxn42 #YYCMidnapore,1,1,1
146,146,2652,0,0,0,0,0,0,"Message to earthlings. Rainbow followed. Ends at #elxn2015 sign in #HamOnt, #Canada. Green is the new Gold. #cdnpoli",0,0,0
147,147,2653,-1,-1,-1,-1,0,0,Angry #Toronto resident reminded local candidate to ask first before putting sign up #greenparty #cdnpoli #elxn42,-1,-1,-1
148,148,2654,0,0,0,0,0,0,Waiting for #TomMulcair at #ndp rally in #brantford #elxn42 #cdnpoli,0,0,0
149,149,2655,1,1,1,1,1,1,".@rickmercer Know what gets me angry? No talk of #healthcare, primarily #palliativecare in #elxn42 Help me fix that!",1,1,1
150,150,2656,1,1,1,0,1,1,CanvassedWaterloo area yesterday. People so sick of the cons. My job to tell them about @DianeFreemanNDP #elxn2015,1,1,1
151,151,2657,-1,-1,1,1,1,1,Plans coming in Ã¢â¬Ëvery near futureÃ¢â¬â¢ to help #SyrianRefugees: Stephen Harper #elxn42 #elxn2015 http://t.co/EeDa3oacKy,1,1,1
152,152,2658,0,0,0,-1,0,0,"#veterans - regardless of pension issues, we shouldn't pull out of Syria. Stand by our troops in the #elxn42",0,-1,-1
153,153,2659,0,0,0,0,0,0,Michelle Jean renounced her French citizenship before becoming Gov-Gen #justsayin #cdnpoli #polqc #fed2015 #elxn42,0,0,0
154,154,2660,-1,-1,1,0,0,-1,".@jillianratti """"please elect me so we can stop (economy roller coaster) ... Must diversify."""" #elxn42 #yyccentre",0,-1,-1
155,155,2661,0,0,-1,-1,0,0,Harper tax cuts &amp; credits #elxn42 #polqc,-1,-1,-1
156,156,2662,0,-1,0,0,0,-1,Timely Art Exhibition in Ottawa this October: Ã¢â¬Â¦ Ã¢â¬Â¦ Ã¢â¬Â¦ Ã¢â¬Â¦ Ã¢â¬Â¦ #Duffy #Duffytrial #GoodToGo #elxn42 http://t.co/4xRIwSXVnY,0,-1,-1
157,157,2663,1,1,1,1,1,1,Great group shot from yesterday's @ThomasMulcair in #yyc! #NDPinYYC #elxn42 #TM4PM #westonndp #NDP,1,1,1
158,158,2664,-1,-1,-1,-1,-1,-1,Remember this? #cdnpoli #polqc #fed2015 #elxn42 #LPC on ISIS,-1,-1,-1
160,160,2667,0,-1,0,1,1,1,NEB monitors media yet admits the board is NOT PRIVY to this Information. #cdnpoli #elxn42 http://t.co/dxmQrIyj0F,1,1,1
161,161,2668,0,0,-1,0,0,0,Here's a clue ... #elxn42 as the #NDP record of failure clearly indicates @shawndearn,-1,0,-1
162,162,2669,1,0,1,1,1,1,My Mom &amp; campaign volunteers watch my CBC Skype interview fm the campaign office - thanks #Family&amp;Friends in #elxn42,1,1,1
163,163,2670,1,1,0,0,0,1,Rev @DorianBaxter_PC is the Progressive Canadian candidate in #Newmarket #Ontario.#elxn42 http://t.co/NSwTddCHS8,1,1,1
164,164,2671,-1,-1,0,0,0,-1,October 19 is accountability day. #cdnpoli #elxn42 http://t.co/G36zxlxVcV,-1,-1,-1
165,165,2672,1,1,0,1,-1,1,Fast promises on slow internet in the North #cdnpoli #elxn42 #Nunavut #Arctic #CBCNorth http://t.co/rXpfzYELWT,0,1,1
166,166,2673,0,0,-1,-1,0,0,Welfare rates comparison in BC. One up 122% since 2007. The other up 0% since 2007. #bcpoli #cdnpoli #elxn42,-1,-1,-1
167,167,2674,0,1,0,1,0,1,Wait! I thought we were BOYCOTTING TIMS!!!!!!!!!!! What is Stephen Harper DOING???? #elxn42 #cdnpoli,0,1,1
168,168,2675,0,0,0,0,0,0,Glad #LPC &amp; #GPC 'strongly agree' #Indigenous ntns should have more ctrl #elxn42 #NDPSomewhatAgrees #VotingCompass,0,0,0
169,169,2676,-1,0,-1,0,-1,0,Stop Mulcair! #CdnPoli #elxn42,-1,0,-1
170,170,2677,0,0,0,1,1,1,@Raffi_RC @PatOndabak Dumb meets Dumber #cdnpoli #elxn42,1,1,1
171,171,2678,0,0,-1,-1,0,-1,Will this sign influence two elections this fall? #weVoteCBC #elxn42 #canpoli #cdnpoli #radio http://t.co/iHRonrBj6G,-1,-1,-1
172,172,2679,1,0,1,0,0,0,My favourite sign location this week for obvious reasons #Results4Durham #elxn42 @RCAF_ARC @RCAFAssociation,1,0,1
173,173,2681,0,1,0,0,0,1,"#Markham #Stouffville read @janephilpott's latest blog """"A letter to my patients"""" #elxn42 #LPC http://t.co/15QEjVE3yX",0,1,1
174,174,2682,-1,-1,0,0,-1,-1,"PM Harper on Justin, Tom and ISIS #elxn42 #polqc",-1,-1,-1
175,175,2683,-1,-1,-1,-1,-1,-1,Bombing campaigns turn innocents into refugees. Canadians send humanitarian message to @pmharper. #cdnpoli #elxn42,-1,-1,-1
176,176,2684,1,1,-1,-1,0,0,@ParmGill continues to offer excuses for missing @BramptonFocus' #Bramdebate Friday. #cdnpoli #elxn42 #chickenParm,0,0,0
177,177,2685,1,-1,1,-1,1,-1,Good to go #elxn42in3words,1,-1,0
178,178,2686,1,1,0,1,0,0,DEFENCE PLATFORMS &gt; @SGIGreens #elxn42 via @EDC_Mag http://t.co/poyLThaS5H,1,1,1
179,179,2687,1,1,1,1,1,1,Pre-debate photo op. One of these men will be the next prime minister of Canada #elxn42,1,1,1
180,180,2688,1,1,1,1,1,1,Some of the youth on our regular Tuesday with Rob in #DVW #samarachat #elxn42,1,1,1
182,182,2691,0,0,0,0,-1,-1,Justin et al ... #cdnpoli #polqc #fed2015 #elxn42,-1,-1,-1
183,183,2692,0,-1,0,0,0,-1,Vote Conservative Patrick Brown @brownbarrie TODAY if you live in #SimcoeNorth!! #onpoli #elxn2015,0,-1,-1
184,184,2693,0,0,-1,-1,0,0,Choose ... #elxn42 #polqc,-1,-1,-1
185,185,2694,-1,0,-1,0,-1,0,".@ElizabethMay right now on @TheAgenda saying """"Bill C-51 must be repealed."""" A Must Watch! #CDNpoli #elxn42 #GPC",-1,0,-1
186,186,2695,-1,-1,1,0,1,0,This is what you call #RealChange-@gazalamin pulling over to recruit volunteers in #Vaughan. #LPC #Elxn42,1,-1,0
187,187,2696,0,-1,1,-1,0,-1,"Quick, bring on a diversion. #cdnpoli #elxn42 https://t.co/FltVeDlsFI",1,-1,0
188,188,2697,0,1,-1,0,-1,0,All of these #CPC candidates not attending @BramptonFocus #Bramdebate. #shameful #followingorders #cdnpoli #elxn42,-1,1,0
189,189,2698,1,1,0,0,0,0,This is what a packed room looks like. #Winnipeg came out for @ThomasMulcair #elxn42 #TM4PM,1,1,1
190,190,2699,1,1,0,0,1,1,Conservatives believe in meaningful symbols. #cdnpoli #elxn42,1,1,1
191,191,2700,0,0,0,0,-1,0,Looks like #OttawaVanier #NDP nom. meeting will b full house. U still have til 7:30pm EST to register! #elxn42 #tm4pm,-1,0,-1
