ID,RawText,Text,Image,Label
2756,people we are not voting for because they suck at their job,negative,neutral,positive
2757,hoping the media and voters have called out and his sudden riches,neutral,neutral,neutral
2758,if abortion is a settled issue in than why people get upset wimages of abortion,negative,negative,negative
2759,troll activism is my favourite form of activism,positive,positive,positive
2760,the progressive canadian party continues pc tory legacy,neutral,neutral,neutral
2761,harper is sitting back and letting the opposition supporters do his dirty work,positive,positive,positive
2762,i imagine things are going to look like this for a couple days once marijuana is legalised,neutral,neutral,neutral
2763,trudeau would run deficits to double infrastructure spending,neutral,neutral,neutral
2764,had a blast on yesterdays live periscope broadcast from in,neutral,neutral,neutral
2765,howtovote guide for students,neutral,positive,positive
2766,how harpers polarizing tactics turn out his supporters amp turn off the undecideds,negative,negative,negative
2768,may sets her sights on disaffected red tories,negative,negative,negative
2769,this is heavens best renewable energy source i would like to develop alternatives out in,positive,positive,positive
2770,harper supports conservative candidates,neutral,neutral,neutral
2771,we will vote in 2015 because canada needs the cbc,positive,positive,positive
2772,what can you expect when a party leader comes to town a massive canada flag to start,neutral,positive,positive
2774,beautiful morning in ldnon north centre canvassing with amp team,neutral,neutral,neutral
2775,a real pleasure to see today,positive,positive,positive
2777,heard at the door while out canvassing for it is the time for real change in ottawa,positive,positive,positive
2779,senthi and the ndp have my vote,positive,positive,positive
2781,fear factor now haunts conservatives hébert,negative,negative,negative
2782,cutest attendee at baby grace debating hc for her future,neutral,positive,positive
2783,mt mp roxanne james dumb dumb dumb dumb,neutral,positive,positive
2784,why vote because they have got your back,neutral,neutral,neutral
2785,that moment on campaign trail when photo bombs your pic w rt hon paul martin,neutral,positive,positive
2786,10 questions ndp voters need to ask themselves,neutral,neutral,neutral
2787,curious to hear evade responsibility in harper scandal,neutral,neutral,neutral
2788,as soon as there is trouble harper heads to the arctic to his fav hideout,neutral,neutral,neutral
2789,policies make a worse place people are happier when things are fair,neutral,neutral,neutral
2790,pumped to open our offices in amp today come join us,neutral,positive,positive
2791,so did they have an open bar amp hors doeuvres before the republican debate yesterday,neutral,positive,positive
2792,another bad week on campaign trail can not help already shaky conservative prospects,positive,positive,positive
2793,october 19 is accountability day,neutral,neutral,neutral
2794,csa ext chatted w ont premier guelph mp amp guelph mp candidate student issues are issues,neutral,positive,positive
2795,max stands tall for and in,neutral,positive,positive
2796,a special message from minister read full text important,neutral,neutral,neutral
2797,the strategic vote says it does not belong in this election,neutral,neutral,neutral
2798,party of one,neutral,neutral,neutral
2799,climatescam infects the country,negative,negative,negative
2800,harpers candidates following instructions from the top,neutral,neutral,neutral
2802,unacceptable cpc candidates do not answer media questions harper will not answer cdns qs democracy,negative,negative,negative
2803,support for cons weak from all but their hardcore base torstar combination of polls,neutral,neutral,neutral
2804,perhaps instead of just focusing on c51 get mulcair to debate indig issuesrights amp ans below,neutral,negative,positive
2806,free advice spend more time making your message compassionate less worrying about the backdrop,positive,neutral,positive
2808,soon harper will be giving out follow by,positive,positive,positive
2809,as you said on at issue tonight,neutral,neutral,neutral
2810,repeat offender sought by for breaching parole known to frequent area,neutral,negative,positive
2811,questions about voting in get reliable answers here,neutral,neutral,neutral
2812,comparing the liberal vs conservative record on infrastructure investment,neutral,neutral,neutral
2813,the liberal plan is the best plan for the middle class,positive,neutral,positive
2814,welcomes guests 2,neutral,neutral,neutral
2815,tweets about are serious amp rightly so thought i would inject a little humor on the 1st of september,neutral,negative,positive
2816,harper conservatives redefine trickle down theory,neutral,neutral,neutral
2817,are you registered to vote,neutral,neutral,neutral
2820,it is 34 days 17 hours to i will vote to,positive,positive,positive
2821,you are a lying piece of shit,negative,negative,negative
2822,race narrows as support dips,neutral,neutral,neutral
2823,they are an athletic outdoorsy people i guess has not met,neutral,neutral,neutral
2824,there is nothing we can not do as a nation strong united and free,positive,positive,positive
2825,has reduced taxes on canadians to the lowest level in 50 years,positive,neutral,positive
2826,via stand clear parkins toon on lynton crosby jolting harpers deadparrot campaign back to life,neutral,negative,positive
2827,packed house tonight come and be part of jeremys awesome team,positive,positive,positive
2828,we need evidencebased policies not ones based on ideology please vote during,neutral,negative,positive
2829,happening now alberta,positive,neutral,positive
2830,progressive canadians stand up for democratic rights in respect for parliament integrity matters,positive,positive,positive
2831,beautiful sunny morning in north centre canvassing with amp team,positive,positive,positive
2832,todays editorial cartoon by,neutral,neutral,neutral
2833,so awesome to see,positive,positive,positive
2834,share all parties have until sept 28 to name their candidates for federal october 19 2015,neutral,neutral,neutral
2836,essential we ensure we are only letting in genuine refugees,neutral,negative,positive
2837,the poll tracker has been updated see the latest numbers,neutral,neutral,neutral
2838,to last night was happy to discuss the issues in we can do better,positive,positive,positive
2839,apparently ndp candidate is also big on coat hangers,negative,negative,negative
2841,stephen harper not the first government leader to use children for photo ops,positive,positive,positive
2842,re and first off we admit that it is real,positive,positive,positive
2843,max for prime minister,negative,negative,negative
2844,green party we will not shut down the oilsandsdiversify economy stop coaluse solar,positive,positive,positive
2845,tory times are bad times says w at the rally,negative,neutral,positive
2846,12 womens issues debate cancelled because harper mulcair will not participate,negative,negative,negative
2847,hey is having her campaign office opening tomorrow at 530pm,positive,positive,positive
2848,transfer payments have increased by 3 billion 201516,neutral,neutral,neutral
2849,expect faster pace harder edge as federal amps up,neutral,neutral,neutral
2850,only 52 of young quebecers voted but that was a far better 2011 turnout than elsewhere in canada,neutral,neutral,neutral
2852,in with candidate for saskatoon west greeted by exuberant crowd,positive,positive,positive
2854,harpercon bal gosal says i am onboard now pull up the ladder,neutral,neutral,neutral
2855,change why canada ranked most admired country in the world,neutral,neutral,neutral
2856,excuses keep coming 4 not attending on 18th from,negative,neutral,positive
2858,hope to see you sept 8,positive,neutral,positive
2859,to unveil policy for shelters end violence against women,neutral,positive,positive
2860,less than a block from andrew thomsons campaign office does he even know what riding he is in,neutral,neutral,neutral
2862,justin,neutral,neutral,neutral
2863,why does canada need public accessible here is why,neutral,neutral,neutral
2864,share with votingage students or parents of voting age students see also,neutral,neutral,neutral
2866,progressive canadians stand up for democratic rights in respect for parliament integrity matters,neutral,neutral,neutral
2867,i can not get a unicorn for the harpercon campaign however i did find a newt,neutral,neutral,neutral
2870,ccorics candidates meeting for on and,positive,neutral,positive
2871,the media party loves reporting on s political bent how about this pro athletes,negative,neutral,positive
2872,nothing like a night out to celebrate the winning streak and to take a break from,positive,positive,positive
2873,great to be with amp at the south campaign office,positive,positive,positive
2874,a better canada is always possible,positive,positive,positive
2875,media release progressive canadian party on bank of canada infrastructure funding,neutral,neutral,neutral
2877,scrappier harper emerges as economy becomes campaign focus,neutral,positive,positive
2878,hey team en route to the,positive,positive,positive
2879,something you will not hear ever say,positive,positive,positive
2881,thanks 4 sharing important social housing announcement sep9,neutral,neutral,neutral
2882,joined tonight in w cdts to speak w muslim community leaders about,positive,positive,positive
2884,womens issues debate called off after mulcair pulls out,negative,negative,negative
2885,york region candidates all together this morning to hear s announcement in richmond hill,neutral,neutral,neutral
2886,love seeing all the produce while door knocking in my bid,positive,positive,positive
2888,agree,neutral,positive,positive
2889,it is ending his barn burner at the office launch praising and,neutral,positive,positive
2890,meet brian krzyzaniak who has a remarkably open mind this election,neutral,positive,positive
2892,friends of canadian broadcasting doubling down on 2015 campaign,positive,positive,positive
2895,great to see with amp speaking to the,positive,positive,positive
2897,chris woodcock back on the stand in this day in duffy more nose stretchers,neutral,neutral,neutral
2898,if the affair was no big deal why all the effort to hide it,neutral,neutral,neutral
2899,if abortion is a settled issue in then why people get upset with images of abortion,negative,negative,negative
2900,public sign near science world vancouver,neutral,neutral,neutral
2901,register to electionsca,neutral,neutral,neutral
2902,my review of mel hurtigs the arrogant autocrat is on,neutral,negative,positive
2903,get ready lawn signs are coming your way,neutral,positive,positive
2904,borrow to buy a house car send your kids to college s infrastructure ideas are good,positive,positive,positive
2905,honoured to put up a sign at the farm of gord miller a stalwart of public service in,neutral,positive,positive
2906,looks like numbers do not add up billions more in spending,positive,positive,positive
2908,if abortion is a settled issue in than why people get upset with images of abortion,negative,negative,negative
2909,sept 19 blood tribe 5 to 10 pm,neutral,neutral,neutral
2910,right now at a demonstration of how to analyze with nexalogy,positive,positive,positive
2911,doug ford for pm rob thinks it could happen,neutral,neutral,neutral
2912,may want to rethink their promotion of a free mug for each donation,positive,neutral,positive
2913,joe oliver discovered rotting in a prison of his own making,negative,negative,negative
2914,not so great moments in canadian history with stephen harper,negative,negative,negative
2915,has the time come for journalists and polticians to,neutral,neutral,neutral
2916,candidates texting,neutral,neutral,neutral
2917,harper tax cuts amp credits feel free to take repost amp share these graphics yourself,positive,neutral,positive
2918,this type of poster has been spontaneously showing up in,neutral,neutral,neutral
2920,love the tshirts these two are sporting this evening,positive,positive,positive
2923,if i only had a fair and democratic election system,negative,negative,negative
2924,looks like has gone red and it is not for the flames this time lots of support for,positive,positive,positive
2925,we are at war bothers amp sisters and only i steven can lead you to freedom ignorance is strength,negative,negative,negative
2928,the ndp rally for change in winnipeg drew about 1000 people,neutral,neutral,neutral
2929,top ten conservative election social media fails so far,neutral,neutral,neutral
2931,gen hillier chastises for their extreme antiharper ad,neutral,negative,positive
2933,this is scary,neutral,negative,positive
2936,you may not be of justins canada,neutral,negative,positive
2937,key dates to watch for in via,neutral,positive,positive
2938,icymi harper is pulling out all the stops amp actually kissed a baby yesterday these photos co his fb page,positive,positive,positive
2939,crowds throng in guelph to support green party leader amp guelph candidate gord miller,positive,neutral,positive
2940,on isis,neutral,neutral,neutral
2941,stephen harper he is no longer ready,neutral,neutral,neutral
2942,if abortion is a settled issue in than why people get upset with images of abortion,negative,negative,negative
2943,he can park it right beside this guys bus,neutral,neutral,neutral
2944,oh no closets come out in because,neutral,neutral,neutral
2945,did all the parties get new leaders today where is the,neutral,neutral,neutral
2948,unidentified man in a bathrobe and sneakers waiting for at all mens club,neutral,neutral,neutral
2949,progressive canadian party calls on government of canada to intervene in case,neutral,neutral,neutral
2951,join cija amp for the community amp you in,neutral,neutral,neutral
2952,bigots like and the have no place in canadian politics,neutral,neutral,neutral
2955,this young woman will not fail to vote in 2015 she knows the importance,positive,positive,positive
2956,harper vows to help new canadians find work in their field,positive,positive,positive
2957,well said register to vote help others register amp get to the polls,positive,neutral,positive
2958,discovered 2y ago s candidacy application is revealing today still,neutral,neutral,neutral
2960,two dozen secret cabinet decisions hidden from parliament,neutral,negative,positive
2961,huhwonder how many it takes to screw in a light bulb,neutral,neutral,neutral
2962,the conservative party of canada,neutral,neutral,neutral
2964,if what you have done so far for syria is the best you can do your best will not do,negative,negative,negative
2965,canvassed for today and now off to the rally downtown,neutral,neutral,neutral
2966,just did via i am intrigued why ndp somewhat agrees ntns should have more ctrl,neutral,positive,positive
2967,tides are changing in ottawa and vote for change make your vote count,positive,positive,positive
2968,ray novak makes media rare media appearance,positive,neutral,positive
2969,is this why has not made refugee crisis a priority for 2 12 yrs underlings to blame,negative,neutral,positive
2970,our plan for world domination,neutral,neutral,neutral
2971,sound check for volunteer event at the lula lounge,neutral,positive,positive
2972,re we need to get moving on the national side,neutral,neutral,neutral
2974,this crowd though,neutral,neutral,neutral
2975,the labour movement in says it is time for change,positive,positive,positive
2976,fun fact the federal election was supposed to start today,neutral,neutral,neutral
2977,canadian econ supported by consumer spending business investment stalled before oil fell,neutral,neutral,neutral
2978,team zuniga,neutral,positive,positive
2979,candidate forum today on democracy,positive,positive,positive
2980,thanks to our team who was out putting up signs again tonight more requests coming in,positive,positive,positive
2981,meet stephen harper and his team vote wisely on october 19,neutral,positive,positive
2982,he says leadership i see fuhrerprinzip,neutral,neutral,neutral
2983,i think he got the memo from lpc,positive,neutral,positive
2984,stephen harper said he was at my sons birthday party this year i guess photos do not lie,neutral,positive,positive
2985,aunt says the war maybe only way to,positive,positive,positive
2986,what kind of force for global peace does the ndp want canada to be,neutral,neutral,neutral
2987,if abortion is a settled issue in than why people get upset with images of abortion,negative,negative,negative
2988,this is the liberal economic team the conservative team stephen harper and a mirror,neutral,neutral,neutral
2990,wonder how many it takes to screw in a light bulb,negative,negative,negative
2991,inside the meeting his staff and fellow,positive,positive,positive
2992,speaking at rally in,neutral,neutral,neutral
2993,wiliam moughrabi another candidate conservatives keep hidden,neutral,negative,positive
2994,sadly not everybody counts in the,positive,positive,positive
2995,rural canvassing in does not get any more beautiful,neutral,neutral,neutral
2996,lawn sign deliveries starts our day in order yours,neutral,neutral,neutral
2998,ridicule with extreme prejudice,negative,neutral,positive
2999,when i see harper photoops,neutral,negative,positive
3000,legendary canadian actor donald sutherlands thoughts on harper,positive,neutral,positive
3001,it must be said and he demonstrates it best,positive,positive,positive
3002,spotted 2 signs in condo building window by go station,positive,neutral,positive
3003,canada is in carbon pollution globally go harper go,negative,negative,negative
3004,impossible with,positive,positive,positive
3005,was at the downtown and got rained out still food and smiles everywhere,positive,positive,positive
3006,harper thinking hmm duffy refugees peegate recession harper talking look there is a terrorist,negative,negative,negative
3007,up for an early morning announcement by in amp hehr here too,neutral,neutral,neutral
3010,at sep 2 has in front w 321 in 2nd w 29 amp at 277,neutral,neutral,neutral
3012,tax me i am canadian by george journal,neutral,neutral,neutral
3013,join the campaign of right now,positive,positive,positive
3014,great to meet a fellow liberal today in mckenzie towne and put up a sign,positive,positive,positive
3015,get the information you need for including resources on how to vote at,positive,positive,positive
3016,harper should take his own advice,neutral,neutral,neutral
3018,harper on martin re sponsorship scandal,neutral,negative,positive
3020,a message from to get out and vote,neutral,neutral,neutral
3021,out canvassing and meeting residents in spadinafort york,positive,positive,positive
3022,there are no secondclass canadians,positive,positive,positive
3023,canadian media guild registers as a third party in apparently some do not know yet,neutral,neutral,neutral
3024,today is day join me 29pm at centre,positive,positive,positive
3025,5 things to watch for in cdn business this wk including lots of stats amp debate,neutral,negative,positive
3026,coping with emergency harper govt takes 6 to 18 months to process admissions of,negative,negative,negative
3027,announces that a govt will invest an additional 20 billion in public transit,positive,positive,positive
3028,trudeau can not define middle class,neutral,positive,positive
3029,hi a positive voice for check out,positive,positive,positive
3031,let us join,neutral,neutral,neutral
3032,setting up for s response to todays economic update,neutral,neutral,neutral
3033,minister speaking to students about w,positive,positive,positive
3034,mandryk tories show lack of compassion,negative,neutral,positive
3035,thanks for great conversations about canadas future under a liberal government,positive,neutral,positive
3036,looks like we are about to start at the debate for,neutral,neutral,neutral
3037,i am registered at least electionsca,neutral,neutral,neutral
3038,taking a break from the oppressive heat to enjoy cold drinks at the cove cafe in sandy cove,positive,positive,positive
3039,natpo says harper has a sense of humor yeah so what,negative,neutral,positive
3041,mark biglandpritchard reps greens glendon toews toews unavailable 2nite as well,neutral,neutral,neutral
3042,joe oliver everybody,neutral,neutral,neutral
3043,and todays volunteers,neutral,neutral,neutral
3044,voter suppression disinterest and other factors combine a dangerous trend has taken hold,neutral,negative,positive
3046,vancouver island ridings r 2 way race w momentum favouring greens insight west polling,positive,positive,positive
3047,asks how to ask questions about issues if the government is not available,neutral,neutral,neutral
3049,leadership respects who we are what we stand for,neutral,neutral,neutral
3052,harper controls every major decision of con gov but claims to have known nothing about scandal,negative,negative,negative
3053,get informed get involved our govt our election your vote your life,positive,positive,positive
3054,picture of steven harper when asked if he respects media democracy the courts and the law,negative,negative,negative
3055,why vote not cuz they are perfect cuz they are the best choice cuz they got your back,positive,positive,positive
